mes;cota_media
2009-02-01;673.57
2009-03-01;758.74
2009-04-01;850
2009-05-01;719.48
2009-06-01;545
2009-07-01;448
2009-08-01;400
2009-09-01;393
2009-10-01;399
2009-11-01;447
2009-12-01;596
2010-01-01;784
2010-02-01;924.32
2010-03-01;954
2010-04-01;845
2010-05-01;574
2010-06-01;486
2010-07-01;424
2010-08-01;392
2010-09-01;329
2010-10-01;284
2010-11-01;480.67
2010-12-01;564.1
2011-01-01;652.13
2011-02-01;720.04
2011-03-01;781.9
2011-04-01;777.3
2011-05-01;612.61
2011-06-01;451.9
2011-07-01;372.39
2011-08-01;324.16
2011-09-01;304.2
2011-10-01;343.81
2011-11-01;457.1
2011-12-01;570.48
2012-01-01;684.03
2012-02-01;752.31
2012-03-01;744.74
2012-04-01;690.4
2012-05-01;613.55
2012-06-01;530
2012-07-01;446
2012-08-01;395
2012-09-01;375
2012-10-01;341.06
2012-11-01;407.67
2012-12-01;556.45
2013-01-01;690.48
2013-02-01;1002.71
2013-03-01;914.58
2013-04-01;960.67
2013-05-01;754
2013-06-01;562
2013-07-01;463
2013-08-01;411
2013-09-01;396
2013-10-01;422
2013-11-01;522
2013-12-01;640
2014-01-01;835
2014-02-01;921
2014-03-01;1082
2014-04-01;999
2014-05-01;785
2014-06-01;607
2014-07-01;489
2014-08-01;429
2014-09-01;411
2014-10-01;403
2014-11-01;450
2014-12-01;601
2015-01-01;744
2015-02-01;850
2015-03-01;897.52
2015-04-01;894
2015-05-01;786.26
2015-06-01;564
2015-07-01;471
2015-08-01;431.1
2015-09-01;386
2015-10-01;358
2015-11-01;412
2015-12-01;432
2016-01-01;481
2016-02-01;709.31
2016-03-01;791.52
2016-04-01;722
2016-05-01;551
2016-06-01;446
2016-07-01;383
2016-08-01;363.16
2016-09-01;280
2016-10-01;393.23
2016-11-01;341
2016-12-01;608.81
2017-01-01;690.84
2017-02-01;866.5
2017-03-01;871.42
2017-04-01;788.47
2017-05-01;638.23
2017-06-01;521.7
2017-07-01;444.39
2017-08-01;404.65
2017-09-01;372.03
2017-10-01;402.16
2017-11-01;485.87
2017-12-01;626.1
2018-01-01;699.19
2018-02-01;870
2018-03-01;849.74
2018-04-01;932.93
2018-05-01;672.48
2018-06-01;543.47
2018-07-01;459.13
2018-08-01;413.45
2018-09-01;405
2018-10-01;451.03
2018-11-01;598.57
2018-12-01;767.39
2019-01-01;750.71
2019-02-01;864.96
2019-03-01;922.77
2019-04-01;893.93
2019-05-01;704
2019-06-01;536
2019-07-01;454
2019-08-01;413.45
2019-09-01;388.07
2019-10-01;453.84
2019-11-01;495.53
2019-12-01;619.42
2020-01-01;693.87
2020-02-01;737.34
2020-03-01;840.48
2020-04-01;736.1
2020-05-01;585.29
2020-06-01;474.6
2020-07-01;417.52
2020-08-01;378.84
2020-09-01;359.2
2020-10-01;369.97
2020-11-01;408.43
2020-12-01;435.71
2021-01-01;536.87
2021-02-01;671.61
2021-03-01;820.39
2021-04-01;681.47
2021-05-01;532.48
2021-06-01;457.7
2021-07-01;405
2021-08-01;373
2021-09-01;367
2021-10-01;380
2021-11-01;531
2021-12-01;727.16
2022-01-01;892.81
2022-02-01;909.89
2022-03-01;950.9
2022-04-01;908.6
2022-05-01;609.84
2022-06-01;493.87
2022-07-01;425
2022-08-01;391
2022-09-01;370
2022-10-01;402
2022-11-01;415
2022-12-01;496.42
2023-01-01;667.48
2023-02-01;765.54
2023-03-01;839.58
2023-04-01;877.97
2023-05-01;852
2023-06-01;503
2023-07-01;427
2023-08-01;389
2023-09-01;384
2023-10-01;379
2023-11-01;380.57
2023-12-01;395.65
2024-03-01;624
2024-04-01;700
2024-05-01;529
2024-06-01;412
2024-07-01;373
2024-08-01;352
2024-09-01;339
2024-10-01;353
2024-11-01;423
2025-06-01;512
2025-07-01;441
2025-09-01;386
