"station_code","tau_mk","p_valor_mk","slope_sen","p_valor_sen","ponto_mudanca","p_valor_pettitt","n_anomalias","n_extremos","tendencia"
"13180000",0.09,0.06,0.12,0.72,35,0.688391381371225,9,0,"Não significativa"
"13410000",-0.02,0.65,-0.82,0.28,125,0.350605065799336,5,0,"Não significativa"
"13710001",-0.13,0.01,-1.07,0.17,66,0.245393430756813,8,0,"Negativa"
"13750000",-0.18,0,-2.99,0.14,113,0.331849946189401,9,0,"Negativa"
"13870000",-0.14,0.01,-3.55,0.3,66,0.468691818720961,8,0,"Negativa"
"13880000",-0.18,0,-5,0.09,126,0.284993917254526,9,2,"Negativa"
"15050000",0.04,0.42,-0.03,0.14,125,0.0136958562840931,8,0,"Não significativa"
"15120001",0.02,0.72,-0.02,0.7,49,0.580656046320959,7,0,"Não significativa"
"15130000",-0.16,0,-0.5,0.05,125,0.0404083671409845,11,0,"Negativa"
"15150000",-0.06,0.19,-0.53,0.2,126,0.112969002227237,8,0,"Não significativa"
"15200000",-0.17,0,-1.91,0.07,126,0.102167836689181,11,0,"Negativa"
"15200010",-0.25,0,-5.59,0.02,78,0.0732398685563273,3,0,"Negativa"
"15250000",-0.18,0,-7.35,0.11,114,0.0928358458542033,7,2,"Negativa"
"15250001",-0.22,0,-12.32,0.04,102,0.0684380636430688,7,1,"Negativa"
"15318000",-0.32,0,-35.21,0.01,55,0.0638483591905334,8,0,"Negativa"
"15360000",-0.03,0.66,-33.36,0.16,43,0.252809073390761,5,0,"Não significativa"
"15400000",-0.11,0.02,-17.57,0.14,125,0.157035024395806,11,1,"Negativa"
"15559000",-0.36,0,-0.48,0.03,113,0.0779133700444915,9,0,"Negativa"
"15560000",-0.11,0.02,-0.53,0.23,125,0.459104378214839,6,0,"Negativa"
"15580000",-0.06,0.27,-0.84,0.36,113,0.662764789029236,9,0,"Não significativa"
"15630000",-0.15,0,-26.06,0.09,113,0.203201467441733,7,1,"Negativa"
"15700000",0.01,0.9,-9.61,0.57,67,0.76830884835562,13,0,"Não significativa"
"15800000",0.05,0.31,-0.43,0.6,149,0.990065082983352,7,1,"Não significativa"
"15830000",0.14,0.02,-2.2,0.62,66,0.434200220522861,5,0,"Negativa"
